Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Les Bréviaires;78;78108;3.51;2016;;
Les Bréviaires;78;78108;3.67;2017;;
Les Bréviaires;78;78108;3.79;2018;;
Les Bréviaires;78;78108;3.57;2019;;
Les Bréviaires;78;78108;3.96;2020;;
Les Bréviaires;78;78108;4.0;2021;;
Les Bréviaires;78;78108;4.1;2022;;
Les Bréviaires;78;78108;4.16;2023;;
Brueil-en-Vexin;78;78113;;2012;;
Brueil-en-Vexin;78;78113;;2013;;
Brueil-en-Vexin;78;78113;;2014;;
Brueil-en-Vexin;78;78113;;2015;;
Brueil-en-Vexin;78;78113;3.03;2016;3.03;6.06
Brueil-en-Vexin;78;78113;2.99;2017;3.31;6.3
Brueil-en-Vexin;78;78113;3.14;2018;3.24;6.38
Brueil-en-Vexin;78;78113;3.24;2019;;
Brueil-en-Vexin;78;78113;3.3;2020;2.9;6.2
Brueil-en-Vexin;78;78113;3.66;2021;3.02;6.68
Brueil-en-Vexin;78;78113;3.62;2022;3.17;6.79
Brueil-en-Vexin;78;78113;3.64;2023;;
Buc;78;78117;4.22;2012;;
Buc;78;78117;3.12;2013;;
Buc;78;78117;3.61;2014;;
Buc;78;78117;2.72;2015;;
Buc;78;78117;2.84;2016;;
Buc;78;78117;2.52;2017;;
Buc;78;78117;5.6;2018;;
Buc;78;78117;5.3;2019;;
Buc;78;78117;5.2;2020;;
Buc;78;78117;2.45;2021;;
Buc;78;78117;2.66;2022;;
Buc;78;78117;2.69;2023;;
Buchelay;78;78118;;2012;;
Buchelay;78;78118;;2013;;
Buchelay;78;78118;;2014;;
Buchelay;78;78118;;2015;;
Buchelay;78;78118;3.03;2016;3.03;6.06
Buchelay;78;78118;2.99;2017;3.31;6.3
Buchelay;78;78118;3.14;2018;3.24;6.38
Buchelay;78;78118;3.24;2019;;
Buchelay;78;78118;3.3;2020;2.9;6.2
Buchelay;78;78118;3.66;2021;3.02;6.68
Buchelay;78;78118;3.62;2022;3.17;6.79
Buchelay;78;78118;3.64;2023;;
Bullion;78;78120;;2012;;
Bullion;78;78120;;2013;;
Bullion;78;78120;;2014;;
Bullion;78;78120;;2015;;
Bullion;78;78120;;2016;;
Bullion;78;78120;;2017;;
Bullion;78;78120;;2018;;
Bullion;78;78120;;2019;;
Bullion;78;78120;2.34;2020;3.94;6.28
Bullion;78;78120;2.36;2021;4.02;6.38
Bullion;78;78120;2.68;2022;4.14;6.82
Bullion;78;78120;2.52;2023;;
Carrières-sous-Poissy;78;78123;;2012;;
Carrières-sous-Poissy;78;78123;;2013;;
Carrières-sous-Poissy;78;78123;;2014;;
Carrières-sous-Poissy;78;78123;;2015;;
Carrières-sous-Poissy;78;78123;3.03;2016;3.03;6.06
Carrières-sous-Poissy;78;78123;2.99;2017;3.31;6.3
Carrières-sous-Poissy;78;78123;3.14;2018;3.24;6.38
Carrières-sous-Poissy;78;78123;3.24;2019;;
Carrières-sous-Poissy;78;78123;3.3;2020;2.9;6.2
Carrières-sous-Poissy;78;78123;3.66;2021;3.02;6.68
Carrières-sous-Poissy;78;78123;3.62;2022;3.17;6.79
Carrières-sous-Poissy;78;78123;3.64;2023;;
Carrières-sur-Seine;78;78124;;2012;;
Carrières-sur-Seine;78;78124;;2013;;
Carrières-sur-Seine;78;78124;;2014;;
Carrières-sur-Seine;78;78124;;2015;;
Carrières-sur-Seine;78;78124;;2016;;
Carrières-sur-Seine;78;78124;;2017;;
Carrières-sur-Seine;78;78124;;2018;;
Carrières-sur-Seine;78;78124;;2019;;
Carrières-sur-Seine;78;78124;;2020;;
Carrières-sur-Seine;78;78124;2.7;2021;4.26;6.96
Carrières-sur-Seine;78;78124;;2022;4.03;
Carrières-sur-Seine;78;78124;3.24;2023;;
La Celle-les-Bordes;78;78125;2.37;2012;;
La Celle-les-Bordes;78;78125;2.42;2013;;
La Celle-les-Bordes;78;78125;2.46;2014;;
La Celle-les-Bordes;78;78125;2.54;2015;;
La Celle-les-Bordes;78;78125;2.58;2016;2.05;4.63
La Celle-les-Bordes;78;78125;2.6;2017;1.99;4.59
La Celle-les-Bordes;78;78125;2.59;2018;2.08;4.67
La Celle-les-Bordes;78;78125;2.61;2019;2.1;4.71
La Celle-les-Bordes;78;78125;2.64;2020;2.17;4.81
La Celle-les-Bordes;78;78125;2.67;2021;2.54;5.21
La Celle-les-Bordes;78;78125;2.7;2022;2.8;5.5
La Celle-les-Bordes;78;78125;2.72;2023;;
La Celle-Saint-Cloud;78;78126;4.22;2012;;
La Celle-Saint-Cloud;78;78126;3.12;2013;;
La Celle-Saint-Cloud;78;78126;3.61;2014;;
La Celle-Saint-Cloud;78;78126;2.72;2015;;
La Celle-Saint-Cloud;78;78126;2.84;2016;;
La Celle-Saint-Cloud;78;78126;2.52;2017;;
La Celle-Saint-Cloud;78;78126;5.6;2018;;
La Celle-Saint-Cloud;78;78126;5.3;2019;;
La Celle-Saint-Cloud;78;78126;5.2;2020;;
La Celle-Saint-Cloud;78;78126;2.45;2021;;
La Celle-Saint-Cloud;78;78126;2.66;2022;;
La Celle-Saint-Cloud;78;78126;2.69;2023;;
Chambourcy;78;78133;1.88;2012;;
Chambourcy;78;78133;1.91;2013;;
Chambourcy;78;78133;1.93;2014;;
Chambourcy;78;78133;1.93;2015;;
Chambourcy;78;78133;1.94;2016;;
Chambourcy;78;78133;1.93;2017;;
Chambourcy;78;78133;1.95;2018;;
Chambourcy;78;78133;1.93;2019;;
Chambourcy;78;78133;1.97;2020;;
Chambourcy;78;78133;1.97;2021;;
Chambourcy;78;78133;1.99;2022;;
Chambourcy;78;78133;2.42;2023;;
Chanteloup-les-Vignes;78;78138;;2012;;
Chanteloup-les-Vignes;78;78138;;2013;;
Chanteloup-les-Vignes;78;78138;;2014;;
Chanteloup-les-Vignes;78;78138;;2015;;
Chanteloup-les-Vignes;78;78138;3.03;2016;3.03;6.06
Chanteloup-les-Vignes;78;78138;2.99;2017;3.31;6.3
Chanteloup-les-Vignes;78;78138;3.14;2018;3.24;6.38
Chanteloup-les-Vignes;78;78138;3.24;2019;;
Chanteloup-les-Vignes;78;78138;3.3;2020;2.9;6.2
Chanteloup-les-Vignes;78;78138;3.66;2021;3.02;6.68
Chanteloup-les-Vignes;78;78138;3.62;2022;3.17;6.79
Chanteloup-les-Vignes;78;78138;3.64;2023;;
Chapet;78;78140;;2012;;
Chapet;78;78140;;2013;;
Chapet;78;78140;;2014;;
Chapet;78;78140;;2015;;
Chapet;78;78140;3.03;2016;3.03;6.06
Chapet;78;78140;2.99;2017;3.31;6.3
Chapet;78;78140;3.14;2018;3.24;6.38
Chapet;78;78140;3.24;2019;;
Chapet;78;78140;3.3;2020;2.9;6.2
Chapet;78;78140;3.66;2021;3.02;6.68
Chapet;78;78140;3.62;2022;3.17;6.79
Chapet;78;78140;3.64;2023;;
Châteaufort;78;78143;4.22;2012;;
Châteaufort;78;78143;3.12;2013;;
Châteaufort;78;78143;3.61;2014;;
Châteaufort;78;78143;2.72;2015;;
Châteaufort;78;78143;2.84;2016;;
Châteaufort;78;78143;2.52;2017;;
Châteaufort;78;78143;5.6;2018;;
Châteaufort;78;78143;5.3;2019;;
Châteaufort;78;78143;5.2;2020;;
Châteaufort;78;78143;2.45;2021;;
Châteaufort;78;78143;2.66;2022;;
Châteaufort;78;78143;2.69;2023;;
Chatou;78;78146;;2012;;
Chatou;78;78146;;2013;;
Chatou;78;78146;;2014;;
Chatou;78;78146;;2015;;
Chatou;78;78146;;2016;;
Chatou;78;78146;;2017;;
Chatou;78;78146;;2018;;
Chatou;78;78146;;2019;;
Chatou;78;78146;;2020;;
Chatou;78;78146;2.7;2021;4.26;6.96
Chatou;78;78146;;2022;4.03;
Chatou;78;78146;3.24;2023;;
Chavenay;78;78152;4.22;2012;;
Chavenay;78;78152;3.12;2013;;
Chavenay;78;78152;3.61;2014;;
Chavenay;78;78152;2.72;2015;;
Chavenay;78;78152;2.84;2016;;
Chavenay;78;78152;2.52;2017;;
Chavenay;78;78152;5.6;2018;;
Chavenay;78;78152;5.3;2019;;
Chavenay;78;78152;5.2;2020;;
Chavenay;78;78152;2.45;2021;;
Chavenay;78;78152;2.66;2022;;
Chavenay;78;78152;2.69;2023;;
Le Chesnay-Rocquencourt;78;78158;4.22;2012;;
Le Chesnay-Rocquencourt;78;78158;3.12;2013;;
Le Chesnay-Rocquencourt;78;78158;3.61;2014;;
Le Chesnay-Rocquencourt;78;78158;2.72;2015;;
Le Chesnay-Rocquencourt;78;78158;2.84;2016;;
Le Chesnay-Rocquencourt;78;78158;2.52;2017;;
Le Chesnay-Rocquencourt;78;78158;5.6;2018;;
Le Chesnay-Rocquencourt;78;78158;5.3;2019;;
Le Chesnay-Rocquencourt;78;78158;5.2;2020;;
Le Chesnay-Rocquencourt;78;78158;2.45;2021;;
Le Chesnay-Rocquencourt;78;78158;2.66;2022;;
Le Chesnay-Rocquencourt;78;78158;2.69;2023;;
Civry-la-Forêt;78;78163;;2012;;
Civry-la-Forêt;78;78163;;2013;;
Civry-la-Forêt;78;78163;;2014;;
Civry-la-Forêt;78;78163;;2015;;
Civry-la-Forêt;78;78163;;2016;;
Civry-la-Forêt;78;78163;19.66;2017;;
Civry-la-Forêt;78;78163;;2018;;
Civry-la-Forêt;78;78163;3.07;2019;;
Civry-la-Forêt;78;78163;2.22;2020;;
